* Texas Instruments Data Flash File
* File created Tue Jul 30 11:02:05 2024
*
* Device Number 1E9B
* Firmware Version 3.00
* Build Number 31
* Order Number 0
*
* bqz Device Number 1E9B
* bqz Firmware Version 3.00
* bqz Build Number 31
*
* Field Order: Class name, Subclass name, Parameter name, Parameter Value, Display Units
"Lifetimes","Cell Balancing","Cb Time Cell 7","0","h"
"Lifetimes","Cell Balancing","Cb Time Cell 8","0","h"
"Lifetimes","Cell Balancing","Cb Time Cell 9","0","h"
"Lifetimes","Cell Balancing","Cb Time Cell 10","2","h"
"Lifetimes","Cell Balancing","Cb Time Cell 11","0","h"
"Lifetimes","Cell Balancing","Cb Time Cell 12","2","h"
"Lifetimes","Cell Balancing","Cb Time Cell 13","6","h"
"Lifetimes","Cell Balancing","Cb Time Cell 14","6","h"
"Lifetimes","Cell Balancing","Cb Time Cell 15","6","h"
"Lifetimes","Time","Total Fw Runtime","840","h"
"Lifetimes","Time","Time Spent In UT","0","h"
"Lifetimes","Time","Time Spent In LT","0","h"
"Lifetimes","Time","Time Spent In STL","828","h"
"Lifetimes","Time","Time Spent In RT","12","h"
"Lifetimes","Time","Time Spent In STH","0","h"
"Lifetimes","Time","Time Spent In HT","0","h"
"Lifetimes","Time","Time Spent In OT","0","h"
"Lifetimes","Time","Time Since Last Charge","0","h"
"GPIO","GPIO Config","GPIO Configuration","80","hex"
"GPIO","GPIO Config","GPIO Ouput Enable","80","hex"
"GPIO","GPIO Config","GPIO Default Ouput Enable","80","hex"
"GPIO","GPIO Config","GPIO Type","c0","hex"
